Filename,C:/Users/Nox.workstation/Desktop/Analysis/Xana/Data12\190725_Sens30_unamp_1.avi
Frames per second,30.0,Seconds per frame,0.03333333333333333,Fly box size,100x100 pixels,Arena center,"(0, 0)"
Arena diameter pixels,1197,Arena diameter in millimeters,30,Arena top left,"(1, 1)"
,,pixels,pixels,pixeis sum,pixeis sum,pixels/frame,pixels/frame,pixeis avg,pixels/frame,pixels/frame,degrees,degrees,degrees,pixels,,millimeters,millimeters,millimeters/frame,millimeters/frame,millimeters/frame,millimeters/frame,millimeters,pixels,pixels
frame,seconds,x,y,motion,motion acceleration,velocity,acceleration,LED,velocity vector x,velocity vector y,velocity angle,angular velocity,angle to the arena center,distance to the arena center,,x,y,velocity,acceleration,velocity vector x,velocity vector y,distance to the arena center,x in relation to the arena,y in relation to the arena
9.0,0.3,824,314,5046,-1281,7.2111025509279782,-4.8304920278643175,137,6,4,326.3099324740202,2.2425384521484375,20.86,881.8,,824.0,314.0,7.2111025509279782,-4.8304920278643175,6.0,4.0,881.8,823,313
10.0,0.3333333333333333,831,322,5235,189,10.63014581273465,3.4190432618066717,137,7,8,311.18592516570965,0.2616119384765625,21.18,891.2,,831.0,322.0,10.63014581273465,3.4190432618066717,7.0,8.0,891.2,830,321
11.0,0.36666666666666664,835,326,3687,-1548,5.6568542494923806,-4.9732915632422694,137,4,4,315.0,2.12249755859375,21.33,896.38,,835.0,326.0,5.6568542494923806,-4.9732915632422694,4.0,4.0,896.38,834,325
12.0,0.4,841,331,5046,1359,7.810249675906654,2.1533954264142734,137,6,5,320.19442890773485,1.950836181640625,21.48,903.79,,841.0,331.0,7.810249675906654,2.1533954264142734,6.0,5.0,903.79,840,330
13.0,0.43333333333333335,846,333,4230,-816,5.3851648071345037,-2.4250848687721502,137,5,2,338.1985905136482,0.518524169921875,21.49,909.18,,846.0,333.0,5.3851648071345037,-2.4250848687721502,5.0,2.0,909.18,845,332
14.0,0.4666666666666667,851,336,4611,381,5.8309518948453007,0.445787087710797,137,5,3,329.03624346792645,0.968505859375,21.55,914.93,,851.0,336.0,5.8309518948453007,0.445787087710797,5.0,3.0,914.93,850,335
15.0,0.5,851,339,3816,-795,3.0,-2.8309518948453007,137,0,3,270.0,0.3405914306640625,21.72,916.04,,851.0,339.0,3.0,-2.8309518948453007,0.0,3.0,916.04,850,338
16.0,0.5333333333333333,853,340,2319,-1497,2.2360679774997898,-0.76393202250021019,137,2,1,333.434948822922,3.8859634399414062,21.73,918.26,,853.0,340.0,2.2360679774997898,-0.76393202250021019,2.0,1.0,918.26,852,339
17.0,0.5666666666666667,859,343,4458,2139,6.7082039324993694,4.4721359549995796,137,6,3,333.434948822922,7.183830261230469,21.77,924.95,,859.0,343.0,6.7082039324993694,4.4721359549995796,6.0,3.0,924.95,858,342
18.0,0.6,866,346,4809,351,7.6157731058639087,0.90756917336453924,137,7,3,336.8014094863518,3.0112533569335938,21.78,932.56,,866.0,346.0,7.6157731058639087,0.90756917336453924,7.0,3.0,932.56,865,345
19.0,0.6333333333333333,875,348,5556,747,9.2195444572928871,1.6037713514289784,137,9,2,347.4711922908485,0.6024398803710938,21.69,941.66,,875.0,348.0,9.2195444572928871,1.6037713514289784,9.0,2.0,941.66,874,347
20.0,0.6666666666666666,881,351,4311,-1245,6.7082039324993694,-2.5113405247935177,137,6,3,333.434948822922,1.0220794677734375,21.72,948.35,,881.0,351.0,6.7082039324993694,-2.5113405247935177,6.0,3.0,948.35,880,350
21.0,0.7,890,355,5283,972,9.8488578017961039,3.1406538692967345,138,9,4,336.0375110254218,1.5400924682617188,21.75,958.19,,890.0,355.0,9.8488578017961039,3.1406538692967345,9.0,4.0,958.19,889,354
22.0,0.7333333333333333,895,359,4065,-1218,6.4031242374328485,-3.4457335643632554,137,5,4,321.3401917459099,0.2912750244140625,21.86,964.32,,895.0,359.0,6.4031242374328485,-3.4457335643632554,5.0,4.0,964.32,894,358
23.0,0.7666666666666666,904,362,5043,978,9.4868329805051381,3.0837087430722896,138,9,3,341.565051177078,1.3264236450195312,21.82,973.79,,904.0,362.0,9.4868329805051381,3.0837087430722896,9.0,3.0,973.79,903,361
24.0,0.8,910,364,4014,-1029,6.324555320336759,-3.1622776601683791,137,6,2,341.565051177078,0.25133514404296875,21.8,980.1,,910.0,364.0,6.324555320336759,-3.1622776601683791,6.0,2.0,980.1,909,363
25.0,0.8333333333333334,918,368,5109,1095,8.9442719099991592,2.6197165896624002,137,8,4,333.434948822922,0.305694580078125,21.84,989.01,,918.0,368.0,8.9442719099991592,2.6197165896624002,8.0,4.0,989.01,917,367
26.0,0.8666666666666667,923,371,4059,-1050,5.8309518948453007,-3.1133200151538585,137,5,3,329.03624346792645,2.4081573486328125,21.9,994.77,,923.0,371.0,5.8309518948453007,-3.1133200151538585,5.0,3.0,994.77,922,370
27.0,0.9,929,373,4218,159,6.324555320336759,0.4936034254914583,137,6,2,341.565051177078,0.512542724609375,21.88,1001.08,,929.0,373.0,6.324555320336759,0.4936034254914583,6.0,2.0,1001.08,928,372
28.0,0.9333333333333333,935,374,4374,156,6.0827625302982193,-0.24179279003853971,137,6,1,350.5376777919744,0.3038330078125,21.8,1007.03,,935.0,374.0,6.0827625302982193,-0.24179279003853971,6.0,1.0,1007.03,934,373
29.0,0.9666666666666667,942,375,4296,-78,7.0710678118654755,0.98830528156725617,137,7,1,351.869897645844,1.511138916015625,21.71,1013.9,,942.0,375.0,7.0710678118654755,0.98830528156725617,7.0,1.0,1013.9,941,374
30.0,1.0,950,377,5106,810,8.2462112512353212,1.1751434393698457,137,8,2,345.9637565320735,3.3121337890625,21.65,1022.07,,950.0,377.0,8.2462112512353212,1.1751434393698457,8.0,2.0,1022.07,949,376
31.0,1.0333333333333332,956,380,4707,-399,6.7082039324993694,-1.5380073187359518,137,6,3,333.434948822922,4.530181884765625,21.68,1028.75,,956.0,380.0,6.7082039324993694,-1.5380073187359518,6.0,3.0,1028.75,955,379
32.0,1.0666666666666667,964,378,5385,678,8.2462112512353212,1.5380073187359518,137,8,-2,14.036243467926479,4.178504943847656,21.41,1035.46,,964.0,378.0,8.2462112512353212,1.5380073187359518,8.0,-2.0,1035.46,963,377
33.0,1.1,971,377,4575,-810,7.0710678118654755,-1.1751434393698457,137,7,-1,8.13010235415598,0.9533233642578125,21.22,1041.62,,971.0,377.0,7.0710678118654755,-1.1751434393698457,7.0,-1.0,1041.62,970,376
34.0,1.1333333333333333,976,377,4287,-288,5.0,-2.0710678118654755,137,5,0,0.0,0.49135589599609375,21.12,1046.28,,976.0,377.0,5.0,-2.0710678118654755,5.0,0.0,1046.28,975,376
35.0,1.1666666666666667,984,377,5013,726,8.0,3.0,138,8,0,0.0,3.1353225708007812,20.96,1053.75,,984.0,377.0,8.0,3.0,8.0,0.0,1053.75,983,376
36.0,1.2,992,377,4434,-579,8.0,0.0,138,8,0,0.0,0.7500152587890625,20.81,1061.22,,992.0,377.0,8.0,0.0,8.0,0.0,1061.22,991,376
37.0,1.2333333333333334,999,375,4851,417,7.2801098892805181,-0.71989011071948195,137,7,-2,15.945395900922854,2.3965301513671875,20.57,1067.06,,999.0,375.0,7.2801098892805181,-0.71989011071948195,7.0,-2.0,1067.06,998,374
38.0,1.2666666666666666,1004,373,4779,-72,5.3851648071345037,-1.8949450821460143,138,5,-2,21.80140948635181,0.254241943359375,20.38,1071.05,,1004.0,373.0,5.3851648071345037,-1.8949450821460143,5.0,-2.0,1071.05,1003,372
39.0,1.3,1011,373,4152,-627,7.0,1.6148351928654963,137,7,0,0.0,0.40196990966796875,20.25,1077.61,,1011.0,373.0,7.0,1.6148351928654963,7.0,0.0,1077.61,1010,372
40.0,1.3333333333333333,1007,375,3645,-507,4.4721359549995796,-2.5278640450004204,137,-4,2,206.565051177078,1.3747787475585938,20.42,1074.56,,1007.0,375.0,4.4721359549995796,-2.5278640450004204,-4.0,2.0,1074.56,1006,374
